Country,Homicides 
Afghanistan,"2,638"
Albania,139
Algeria,452
Angola,"2,524"
Antigua and Barbuda,3
Argentina,"2,195"
Armenia,124
Australia,266
Austria,49
Azerbaijan,234
Bahamas,98
Bahrain,10
Bangladesh,"4,649"
Barbados,33
Belarus,507
Belgium,161
Belize,118
Benin,600
Bhutan,20
Bolivia,"1,223"
Bosnia and Herzegovina,70
Botswana,342
Brazil,"60,959"
Brunei,2
Bulgaria,147
Burkina Faso,"1,559"
Burundi,454
Cambodia,380
Cameroon,"1,833"
Canada,557
Cape Verde,49
Central African Republic,975
Chad,"1,200"
Chile,804
China,"15,181"
Colombia,"28,046"
Comoros,60
Congo,468
Costa Rica,530
Cote d'Ivoire,"2,671"
Croatia,59
Cuba,519
Cyprus,6
Czechia,101
Democratic Republic of Congo,"8,885"
Denmark,46
Djibouti,63
Dominican Republic,"2,731"
Ecuador,"3,229"
Egypt,"3,244"
El Salvador,"4,429"
Equatorial Guinea,34
Eritrea,366
Estonia,69
Eswatini,256
Ethiopia,"7,541"
Fiji,21
Finland,110
France,627
Gabon,154
Gambia,168
Georgia,237
Germany,760
Ghana,"1,587"
Greece,168
Grenada,4
Guatemala,"6,180"
Guinea,"1,007"
Guinea-Bissau,165
Guyana,147
Haiti,"2,120"
Honduras,"6,552"
Hungary,156
Iceland,2
India,"53,464"
Indonesia,"11,793"
Iran,"2,964"
Iraq,"4,914"
Ireland,54
Israel,169
Italy,521
Jamaica,"1,569"
Japan,472
Jordan,232
Kazakhstan,"1,683"
Kenya,"2,447"
Kiribati,6
Kuwait,57
Kyrgyzstan,596
Laos,463
Latvia,157
Lebanon,192
Lesotho,836
Liberia,450
Libya,188
Lithuania,231
Luxembourg,6
Madagascar,"1,718"
Malawi,542
Malaysia,786
Maldives,8
Mali,"1,912"
Malta,3
Mauritania,419
Mauritius,54
Mexico,"26,162"
Micronesia (country),5
Moldova,374
Mongolia,274
Montenegro,21
Morocco,509
Mozambique,"1,005"
Myanmar,"2,265"
Namibia,389
Nepal,889
Netherlands,152
New Zealand,55
Nicaragua,858
Niger,"1,819"
Nigeria,"17,110"
North Korea,"1,168"
North Macedonia,53
Norway,33
Oman,23
Pakistan,"14,845"
Panama,915
Papua New Guinea,786
Paraguay,842
Peru,"2,054"
Philippines,"16,596"
Poland,401
Portugal,157
Qatar,10
Romania,524
Russia,"19,013"
Rwanda,483
Saint Lucia,41
Saint Vincent and the Grenadines,23
Samoa,7
Sao Tome and Principe,13
Saudi Arabia,462
Senegal,"1,101"
Serbia,174
Seychelles,12
Sierra Leone,577
Singapore,31
Slovakia,88
Slovenia,10
Solomon Islands,26
Somalia,726
South Africa,"19,107"
South Korea,648
South Sudan,"1,358"
Spain,395
Sri Lanka,"1,075"
Sudan,"2,301"
Suriname,50
Sweden,101
Switzerland,51
Syria,558
Tajikistan,167
Tanzania,"4,349"
Thailand,"5,404"
Timor,46
Togo,636
Tonga,4
Trinidad and Tobago,561
Tunisia,320
Turkey,"3,667"
Turkmenistan,214.00
Uganda,"3,808.00"
Ukraine,"2,591.00"
United Arab Emirates,79.00
United Kingdom,"1,014.00"
United States,"16,912.00"
Uruguay,204.00
Uzbekistan,804.00
Vanuatu,6.00
Venezuela,"15,334.00"
Vietnam,"1,595.00"
World,"473,571.00"
Yemen,"1,331.00"
Zambia,996.00
Zimbabwe,"1,825.00"